Timestamp (s),innerAnalogTemp,outerAnalogTemp,pressure,altitude,AccX,AccY,AccZ,innerDigitalTemp,ServoPosition
0.0,25.90,25.42,1021.63,-69.55,0.32,-0.02,1.00,27.777,0
0.5,25.42,24.93,1021.61,-69.39,0.32,-0.03,1.01,27.777,0
1.0,25.90,25.42,1021.60,-69.31,0.32,-0.02,1.01,27.871,0
1.5,25.90,24.93,1021.58,-69.16,0.32,-0.02,1.02,27.730,0
2.0,25.90,25.42,1021.59,-69.17,0.32,-0.02,1.01,27.918,0
2.5,25.42,25.42,1021.50,-68.46,0.32,-0.02,1.01,27.824,0
3.0,25.42,24.93,1021.59,-69.17,0.32,-0.02,1.01,27.824,0
3.5,25.90,25.42,1021.59,-69.19,0.32,-0.02,1.00,27.918,0
4.0,25.42,24.93,1021.56,-68.96,0.32,-0.02,1.01,27.918,0
4.5,25.42,25.42,1021.54,-68.77,0.32,-0.02,1.00,27.777,181
5.0,33.72,34.21,1021.59,-69.24,0.32,-0.02,1.00,27.777,181
5.5,25.42,24.93,1021.61,-69.34,0.32,-0.02,1.00,27.777,181
6.0,33.72,33.72,1021.63,-69.57,0.32,-0.02,1.00,27.871,181
6.5,28.35,24.93,1021.62,-69.47,0.33,-0.02,1.00,27.871,181
7.0,33.24,33.72,1021.63,-69.54,0.32,-0.03,1.00,27.824,181
7.5,33.72,34.21,1021.63,-69.54,0.34,-0.01,1.00,27.777,181
8.0,33.24,34.21,1021.64,-69.61,0.32,-0.02,1.02,27.871,181
8.5,33.24,33.72,1021.59,-69.17,0.33,-0.02,1.00,27.871,181
9.0,33.24,33.72,1021.61,-69.36,0.32,-0.02,1.01,27.871,181
9.5,33.24,34.21,1021.64,-69.58,0.31,-0.02,1.00,27.871,181
10.0,26.39,33.72,1021.63,-69.57,0.32,-0.02,1.00,27.777,181
10.5,33.72,33.72,1021.63,-69.50,0.32,-0.02,1.01,27.871,181
11.0,25.42,24.44,1021.63,-69.54,0.33,-0.02,1.00,27.871,181
11.5,33.24,33.72,1021.61,-69.38,0.32,-0.01,1.00,27.777,181
12.0,24.93,24.44,1021.64,-69.60,0.33,-0.02,1.00,27.965,181
12.5,33.24,33.72,1021.65,-69.68,0.32,-0.02,1.01,27.918,181
13.0,38.61,26.39,1021.65,-69.68,0.32,-0.02,1.01,27.871,181
13.5,33.24,33.24,1021.63,-69.58,0.32,-0.02,1.01,27.918,181
14.0,33.24,34.21,1021.65,-69.77,0.32,-0.02,1.01,28.012,181
14.5,33.24,33.72,1021.67,-69.90,0.32,-0.02,1.01,27.871,181
15.0,33.24,34.21,1021.63,-69.54,0.31,-0.02,1.00,27.918,181
15.5,33.24,33.72,1021.62,-69.49,0.31,-0.01,1.01,27.965,181
16.0,33.24,33.72,1021.65,-69.68,0.32,-0.01,1.01,27.871,181
16.5,33.24,33.72,1021.65,-69.72,0.32,-0.02,1.01,27.730,181
17.0,33.24,33.72,1021.64,-69.59,0.31,-0.01,1.02,27.965,181
17.5,24.93,24.44,1021.67,-69.83,0.32,-0.02,0.99,27.871,181
18.0,33.24,33.72,1021.64,-69.64,0.32,-0.01,1.01,27.918,181
18.5,25.42,24.93,1021.67,-69.83,0.35,-0.01,1.00,27.871,181
19.0,32.75,33.72,1021.62,-69.45,0.30,-0.02,1.02,27.871,181
19.5,25.42,24.44,1021.61,-69.41,0.35,-0.02,1.00,27.871,181
